DS,Variable,Stack,Row span,Col span,Envelope,Alias,Samples
codacuda,UTIL-LV2-LC11:TP2000-ET03,5.2,,,, ,
codacuda,UTIL-SYSM-COM-4503-UT:SRV3601-NRBPS,7.5,,,, ,
codacuda,UTIL-SYSM-COM-4503-UT:SRV3601-NSBPS,7.5,,,, ,
codacuda,UTIL-SYSM-COM-4503-UT:SRV3603-NRBPS,7.5,,,, ,
codacuda,UTIL-SYSM-COM-4503-UT:SRV3603-NSBPS,7.5,,,, ,
codacuda,CWS-SCSU-CC2D:RTD2-SPARE-HOOR,8.1,,,,,
codacuda,CWS-SCSU-CC2D:RTD2-SPARE-LOOR,8.1,,,,,
codacuda,CWS-SCSU-CC2D:RTD2-SPARE-XI0,8.1,,,,,
codacuda,CWS-SCSU-HR00:RTDSPARE-1125-HOOR,8.2,,,,,
codacuda,CWS-SCSU-HR00:RTDSPARE-1125-LOOR,8.2,,,,,
codacuda,CWS-SYSM-COM-4503-CW:SRV6101-NRBPS,8.3,,,,,
codacuda,CWS-SYSM-COM-4503-CW:SRV6102-NRBPS,8.3,,,,,
codacuda,CWS-SYSM-COM-4503-CW:SRV6103-NRBPS,8.3,,,,,
codacuda,CWS-SYSM-COM-4503-CW:SRV6103-NSBPS,8.4,,,,,
codacuda,CWS-SYSM-COM-4503-CW:SRV6102-NSBPS,8.4,,,,,
codacuda,CWS-SYSM-COM-4503-CW:SRV6101-NSBPS,8.4,,,,,
codacuda,CWS-SCSU-HR00:MTE0012-TT-XI0,8.5,,,,,
codacuda,CWS-SCSU-HR00:MTE0029-TT-XI0,8.5,,,,,
codacuda,CWS-SCSU-HR00:MTE0043-TT-XI0,8.5,,,,,
codacuda,CWS-SCSU-HR00:AISPARE-2169-XI0,8.5,,,,,
