DS,Variable,Stack,Row span,Col span,Envelope,Alias,PulseNumber,StartTime,EndTime,x,y,z,Plot type,Status
codacuda,CWS-SCSU-HR00:ML0004-LT-XI,1.1,,,,ml4,,,,,,,,Success | 72103 points
codacuda,CWS-SCSU-HR00:ML0002-LT-XI,2.1,,,,ml2,,,,,,,,Success | 110827 points
codacuda,CWS-SCSU-HR00:ML0001-LT-XI,3.1,,,,ml1,,,,,,,,Success | 109284 points
codacuda,CWS-SCSU-HR00:ML0003-LT-XI,4.1,,,,ml3,,,,,,,,Success | 178146 points
codacuda,np.amax(${ml4})*(np.ones(np.size(${ml4}))),1.1,,,,maxml4,,,,,,,,Success | 72103 points
codacuda,np.amax(${ml3})*(np.ones(np.size(${ml3}))),4.1,,,,maxml3,,,,,,,,Success | 178146 points
codacuda,np.amax(${ml4})*(np.ones(np.size(${ml4}))) - ${ml4},5.1,,,,diffml4,,,,,,,,Success | 72104 points
codacuda,np.amax(${ml3})*(np.ones(np.size(${ml3})))-${ml3},6.1,,,,diffml3,,,,,,,,Success | 178147 points
